id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
475	Where is Lubéron AOC located?	Rhône Valley	Bordeaux	Burgundy	Alsace	Rhône Valley	"wine, regions, France, Rhône Valley, Location, regions"	3	Multiple	11
476	What is the climate in Languedoc?	Mediterranean 	Maritime	Continental	Rainy	Mediterranean 	"wine, France, vitis, regions, Languedoc-Roussillon, Location, production"	3	Multiple	11
477	What grape variety is not easy to find in the Languedoc vineyards?	Pinot Noir	Carignan 	Grenache 	Cinsault 	Pinot Noir	"wine, France, regions, Languedoc-Roussillon, Location, grapes"	3	Multiple	11
478	What grape variety is not easy to find in the Roussillon vineyards?	Tempranillo	Mourvèdre 	Syrah	Merlot 	Tempranillo	"wine, France, grapes, regions, Languedoc-Roussillon, Location"	3	Multiple	11
479	What is another name for the Vermentino variety?	Rolle	Viognier 	Clairette Blanche 	Picpoul 	Rolle	"wine, grapes"	4	Multiple	11
480	Where can you find La Clape AOC?	Languedoc	Rhône Valley	Alsace	Provence	Languedoc	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
481	Where can you find Pic Saint Loup AOC?	Languedoc	Rhône Valley	Alsace	Provence	Languedoc	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
482	Where can you find Montpeyroux AOC?	Languedoc	Loire Valley	Alsace	Burgundy	Languedoc	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
483	Where can you find Picpoul de Pinet AOC?	Languedoc	South East France	Bordeaux	Burgundy	Languedoc	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
484	Where can you find Faugeres AOC?	Languedoc	Rhône Valley	Burgundy	South East France	Languedoc	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
485	Where can you find the Minervois area?	Languedoc	Champagne	Rhône Valley	Bordeaux	Languedoc	"wine, France, regions, Languedoc-Roussillon, Location"	3	Multiple	11
486	What grape variety is the most probable to find in a wine from Faugères AOC?	Carignan 	Pinot Noir	Riesling	Pinot Blanc	Carignan 	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
487	What grape variety is the most probable to find in a wine from Minervois AOC?	Mourvèdre	Viognier	Verdejo	Cabernet Sauvignon	Mourvèdre	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
488	What grape variety is the most probable to find in a wine from Corbières AOC?	Carignan	Chardonnay	Macabeo	Pinot Noir	Carignan	"wine, France, regions, Languedoc-Roussillon, Location"	4	Multiple	11
489	What appellation can be found at the foot of Pyrenees?	Corbières	Maconnais 	Côte des Blancs	Medoc	Corbières	"wine, France, regions, Languedoc-Roussillon, Location"	3	Multiple	11
490	Where can you find Limoux AOC?	Roussillon 	Rhône Valley	Alsace	Provence	Roussillon	"wine, France, regions, Languedoc-Roussillon, Location"	3	Multiple	11
491	How many hours of sunshine does Provence have annually?	3000	2000	3500	1800	3000	"wine, France, regions, Provence, Location"	4	Multiple	11
492	How much rain does Provence get annually?	700 mm	1000 mm	1200 mm	400 mm	700 mm	"wine, France, regions, Provence, Location"	4	Multiple	11
493	What grape variety is less likely to be found in a wine from Provence?	Tempranillo	Tibouren 	Cinsault 	Grenache 	Tempranillo	"wine, France, regions, Provence, Location, grapes"	3	Multiple	11
494	What grape variety is the most planted in Provence?	Grenache 	Cinsault 	Carignan 	Mourvèdre 	Grenache 	"wine, France, regions, Provence, Location, grapes"	4	Multiple	11
495	What is the minimal oak aging requirement for Bandol red wines?	18 months	12 months	24 months	6 months	18 months	"wine, France, regions, Provence, Location"	4	Multiple	11
496	What is the leading variety in Bandol AOC?	Mourvèdre 	Chardonnay	Pinot Noir	Cabernet Sauvignon 	Mourvèdre 	"wine, France, regions, Provence, Location, grapes"	4	Multiple	11
497	Where can you find Bellet AOC?	Provence	Languedoc	Roussillon	Rhône Valley	Provence	"wine, France, regions, Provence, Location"	4	Multiple	11
498	Where can you find Cassis AOC?	Provence	Burgundy	Loire Valley	Languedoc	Provence	"wine, France, regions, Provence, Location"	4	Multiple	11
499	Where can you find Baux de Provence AOC?	Provence	Alsace	South East France	Roussillon	Provence	"wine, France, regions, Provence, Location"	4	Multiple	11
500	Where can you find Palette AOC?	Provence	Roussillon 	Bordeaux	South East France	Provence	"wine, France, regions, Provence, Location"	4	Multiple	11
501	Nielluccio has DNA identical to which grape variety?	Sangiovese 	Tempranillo	Grenache Noir	Mourvèdre 	Sangiovese 	"wine, grapes"	4	Multiple	11
502	Sciacarello is unique to which of the islands?	Corsica 	Sicily	Sardinia	Santorini	Corsica 	"wine, Corsica, Location, France"	4	Multiple	11
503	Where can you find Ajaccio AOC?	Corsica 	Provence	Roussillon	Languedoc	Corsica 	"wine, Corsica, Location, France"	4	Multiple	11
504	Where can you find Patrimonio AOC?	Corsica 	South East France	Roussillon 	Bordeaux	Corsica 	"wine, Corsica, Location, France"	4	Multiple	11
505	What grape variety needs to be used to produce white wines in Patrimonio AOC?	Vermentino 	Chardonnay	Viognier	Pinot Blanc	Vermentino 	"wine, Corsica, Location, France, grapes"	4	Multiple	11
506	Where Provence region is located?	South of France	North of France	East of France	West of France	South of France	"wine, France, regions, Provence, Location"	3	Multiple	11
507	Where does Domaine Tempier produce wine?	Provence	Alsace	Bordeaux	Burgundy	Provence	"wine, France, regions, Provence, Location, somm"	4	Multiple	11
508	Where does Delas produce wines?	Rhône Valley	Tuscany	Duoro	Rioja	Rhône Valley	"wine, France, regions, Rhône Valley, Location, somm"	4	Multiple	11
509	Where does Château de Beaucastel produce wines?	Rhône Valley	Provence	Loire Valley	Alsace	Rhône Valley	"wine, France, regions, Rhône Valley, Location, somm"	4	Multiple	11
510	What is the climate in the central Loire Valley?	Continental	Maritime 	Sunny	Mediterranean 	Continental	"wine, France, regions, Loire Valley, Location, vitis, production"	3	Multiple	11
511	Where can one find Kimmeridgian soil?	Loire Valley	Provence	Bordeaux	Rhône Valley	Loire Valley	"wine, France, regions, Loire Valley, Location, vitis, production"	3	Multiple	11
512	Where can one find Tuffeau soil?	Loire Valley	Duoro	Barolo	Wachau	Loire Valley	"wine, France, regions, Loire Valley, Location, vitis, production"	3	Multiple	11
513	Where can one easily find wines made from Cabernet Franc?	Loire Valley	Provence	Rhône Valley	Champagne	Loire Valley	"wine, France, regions, Loire Valley, Location, grapes"	3	Multiple	11
514	Grolleau grapes are used to made everyday wines. What regions uses Grolleau to make wines?	Loire Valley	Languedoc	Corsica 	Alsace	Loire Valley	"wine, France, regions, Loire Valley, Location, grapes"	4	Multiple	11
515	What region is the home of Chenin Blanc?	Loire Valley	Roussillon	Burgundy	Alsace	Loire Valley	"wine, France, regions, Loire Valley, Location, grapes"	3	Multiple	11
516	What white grape variety is hard to find in Loire Valley?	Riesling	Sauvignon Blanc	Chenin Blanc	Melon de Bourgogne	Riesling	"wine, France, regions, Loire Valley, Location, grapes"	3	Multiple	11
517	What are the permitted bottling dates for sur lie wines in Loire Valley?	1st March - 30th June and 15th October - 30th November	1st January - 30th April and 1st December  - 31st December	1st March - 31st July and 15th August - 30th November	1st April - 31st July and 15th October - 15th December	1st March - 30th June and 15th October - 30th November	"wine, France, regions, Loire Valley, Location"	4	Multiple	11
518	What other grape can be found in Sancerre along Sauvignon Blanc?	Pinot Noir	Cabernet Sauvignon	Pinot Blanc	Riesling	Pinot Noir	"wine, France, regions, Loire Valley, Location, grapes"	4	Multiple	11
519	Where can you find Pouilly-Fumé AOC?	Loire Valley	Burgundy	Bordeaux	Provence	Loire Valley	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
520	Where can you find Menetou-Salon AOC?	Loire Valley	South East France	Provence	Champagne	Loire Valley	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
521	Where can you find Sancerre AOC?	Loire Valley	Languedoc	Burgundy	Alsace	Loire Valley	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
522	Which of the AOC from Loire Valley allows only white wines?	Pouilly-Fumé 	Sancerre	Menetou-Salon 	Reuilly 	Pouilly-Fumé 	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
523	Where can you find Reuilly AOC?	Loire Valley	Burgundy	Bordeaux	Provence	Loire Valley	"wine, France, regions, Loire Valley, Location"	4	Multiple	11
524	Where can you find Quincy AOC?	Loire Valley	Roussillon	Burgundy	Alsace	Loire Valley	"wine, France, regions, Loire Valley, Location"	4	Multiple	11
525	"Where, outside of Champagne, can you find wines made with Pinot Meunier grapes?"	Touraine 	Alto Adige	Tokay	Mosel	Touraine 	"wine, France, regions, Loire Valley, Location"	4	Multiple	11
526	What grape variety most often can be found in wines from Vouvray?	Chenin Blanc	Pinot Gris	Pinot Blanc	Sauvignon Blanc	Chenin Blanc	"wine, France, regions, Loire Valley, Location, grapes"	3	Multiple	11
527	How much Cabernet Sauvignon is allowed in the wines from Chinon AOC?	25%	0%	10%	15%	25%	"wine, France, regions, Loire Valley, Location, grapes"	4	Multiple	11
528	How much Cabernet Sauvignon is allowed in wines from Bourgueil AOC?	25%	0%	10%	20%	25%	"wine, France, regions, Loire Valley, Location, grapes"	4	Multiple	11
529	What style of wines is produced most typically in Cabernet d’Anjou AOC?	Rosé 	Dry white	Fortified	Sparkling	Rosé 	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
530	What region can you find Anjou-Gamay and Rosé d’Anjou in?	Loire Valley	Beaujolais	Alsace	Burgundy	Loire Valley	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
531	What style of wines is produced most typically in Anjou-Gamay AOC?	Dry reds	Sweet whites	Fortified	Off-dry rosé 	Dry reds	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
532	What region can you find Saumur-Champigny in?	Loire Valley	Bordeaux	South East France	Provence	Loire Valley	"wine, France, regions, Loire Valley, Location"	3	Multiple	11
533	Medium sweets white wines are sometimes produced in Loire Valley. Where?	Côteaux de Saumur AOC	Cabernet d’Anjou AOC	Bourgueil AOC	Touraine AOC	Côteaux de Saumur AOC	"wine, France, regions, Loire Valley, Location"	4	Multiple	11
534	What grape variety is used in wines from Savennières AOC?	Chenin Blanc	Pinot Blanc	Cabernet Sauvignon	Merlot	Chenin Blanc	"wine, France, regions, Loire Valley, Location, grapes"	3	Multiple	11
535	Where can you find Ebro river?	Spain	Italy	Portugal	France	Spain	"wine, Spain, Location, Ebro and Pyrénées"	3	Multiple	11
536	Sierra Morena has protective influence on one of the Spanish regions. Which one?	La Mancha	Rioja	Rueda	Catalonia	La Mancha	"wine, Spain, Location, Castilla-La Mancha"	4	Multiple	11
537	"What river crosses Ribera del Duero, Rueda and Toro?"	Duero	Ebro	Tordera	Guadalope	Duero	"wine, Spain, Location, Duero Valley"	3	Multiple	11
538	What is the other name of Cencibel grape variety?	Tempranillo	Garnacha	Airen	Carinena 	Tempranillo	"wine, Spain, grapes"	4	Multiple	11
539	What is the other name of Mazuelo grape variety?	Carinena 	Tempranillo	Monastrell 	Malvasia	Carinena 	"wine, Spain, grapes"	4	Multiple	11
540	What is the other name of Monastrell grape variety?	Mourvèdre 	Macabeo	Graciano 	Bobal	Mourvèdre 	"wine, Spain, grapes"	3	Multiple	11
541	What is the other name of Garnacha grape variety?	Grenache 	Carinena 	Graciano 	Malvasia	Grenache 	"wine, Spain, grapes"	3	Multiple	11
542	What is the other name of Carinena grape variety?	Carignan 	Macabeo	Airen	Tempranillo	Carignan 	"wine, Spain, grapes"	3	Multiple	11
543	What is the other name of Macabeo grape variety?	Viura	Airen	Bobal	Albariño	Viura	"wine, Spain, grapes"	3	Multiple	11
544	What is the most planted grape in Spain?	Airen	Tempranillo	Bobal	Garnacha Tinta	Airen	"wine, Spain, grapes, Location"	3	Multiple	11
545	What country has the largest area under vine in the world?	Spain	Italy	USA	Germany	Spain	"wine, Spain, Location"	3	Multiple	11
546	What is the lowest quality level of Spanish wines?	Vino de Mesa 	Vino de la Tierra 	Joven	Denominación de Origen 	Vino de Mesa 	"wine, Spain, Location"	3	Multiple	11
547	What is the highest quality level of Spanish wines?	Denominación de Origen Calificada 	Reserva	Denominación de Origen 	Vino de Mesa 	Denominación de Origen Calificada 	"wine, Spain, Location"	3	Multiple	11
548	What part of Rioja experience cool maritime influence from Atlantic?	Alavesa	Alta	Baja	Ebro	Alavesa	"wine, Spain, Location, Ebro and Pyrénées, Rioja"	3	Multiple	11
549	What region is famous for its traditional aging in American oak?	Rioja	Barolo	Bordeax	Duoro	Rioja	"wine, Spain, Location, Ebro and Pyrénées, Rioja, vini, production"	3	Multiple	11
550	What is the climate in Navarra?	Continental	Maritime	Mediterranean	Subtropical	Continental	"wine, Spain, Location, Ebro and Pyrénées, vitis, Navarra, production"	3	Multiple	11
551	How much white wines are produced in the Navarra region?	About 5%	About 15%	About 25%	About 35%	About 5%	"wine, Spain, Location, Ebro and Pyrénées, Navarra"	4	Multiple	11
552	What grape variety is typical for wines from Somontano?	Moristel	Mourvèdre 	Gamay	Bobal	Moristel	"wine, Spain, Location, Ebro and Pyrénées, Navarra"	4	Multiple	11
553	"What DO has continental climate with long and hot summers, up to 38 Celsius degrees in summer and -8 Celsius degrees in winter?"	Cariñena	Rioja	Sherry	Rueda	Cariñena	"wine, Spain, Location, Ebro and Pyrénées, Navarra"	4	Multiple	11
554	What is the most grown grape variety in DO Cariñena?	Garnacha 	Carinena 	Macabeo	Tempranillo	Garnacha 	"wine, Spain, Location, Ebro and Pyrénées"	4	Multiple	11
555	What is the climate in DO Penedès?	Mediterranean 	Maritime	Continental	Tropical	Mediterranean 	"wine, Spain, Location, Catalunya, vitis, production"	3	Multiple	11
556	Which of the following areas in not part of Penedès region?	Baja-Penedès 	Baix-Penedès 	Penedès Central	Alt-Penedès 	Baja-Penedès 	"wine, Spain, Location, Catalunya"	4	Multiple	11
557	Which of the grapes varieties is not a traditional ingredient of Cava?	Moscatel 	Xarel-lo 	Parellada 	Viura	Moscatel 	"wine, Spain, Location, Catalunya, sparkling"	3	Multiple	11
558	Where can you find DO Conca de Barberà?	North-East of Spain	South-East of Spain	North-West of Spain	South-West of Spain	North-East of Spain	"wine, Spain, Location, Catalunya"	4	Multiple	11
559	Where can you find DO Costers del Segre?	North-East of Spain	South-East of Spain	Centre of Spain	South of Spain	North-East of Spain	"wine, Spain, Location, Catalunya"	4	Multiple	11
560	What region DO Costers del Segre is part of?	Catalunya	Jerez	Duoro	Meseta	Catalunya	"wine, Spain, Location, Catalunya"	4	Multiple	11
561	What is the most common grape variety grown in DOC Priorat?	Garnacha 	Carinena 	Mourvèdre 	Syrah	Garnacha 	"wine, Spain, Location, Catalunya, grapes"	4	Multiple	11
562	What region can you find village Gratallops in?	Priorat	Rioja	Ribera del Duero	La Mancha	Priorat	"wine, Spain, Location, Catalunya"	4	Multiple	11
563	What Spanish region is famous for its 50 cm thick volcanic soil over a bedrock of schist which means the vine has to penetrate great depths to find water?	Priorat	Rueda	Jerez	La Mancha	Priorat	"wine, Spain, Location, Catalunya, vitis, production"	3	Multiple	11
564	What is the most common style of wines from DOC Priorat?	Dry full bodied reds	Dry light reds	Dry herbal rosé	Dry full bodied whites	Dry full bodied reds	"wine, Spain, Location, Catalunya"	3	Multiple	11
565	Campo is part of…	Tarragona	Navarra	Costers del Segre	Terra Alta	Tarragona	"wine, Spain, Location, Catalunya"	4	Multiple	11
566	What grape variety is used to produce Tarragona Classico wine?	Tempranillo	Garnacha	Carinena 	Macabeo	Tempranillo	"wine, Spain, Location, Catalunya"	4	Multiple	11
567	What region is DO Terra Alta part of?	Catalunya	Jerez	Galicia	Duero Valley	Catalunya	"wine, Spain, Location, Catalunya"	4	Multiple	11
568	"What DO produces full bodied, high alcohol red wines?"	Toro	Rueda	Rias Baixas	La Mancha	Toro	"wine, Spain, Location, Duero Valley"	3	Multiple	11
569	What grape variety is Tinta del País clone of?	Tempranillo	Verdejo 	Garnacha	Mourvèdre 	Tempranillo	"wine, Spain, grapes"	4	Multiple	11
570	What is the climate in Rueda?	Continental	Maritime	Mediterranean	Subtropical	Continental	"wine, Spain, Location, Duero Valley, vitis, production"	3	Multiple	11
571	What grape variety is typical for wines from Rueda?	Verdejo	Viognier	Viura	Verdicchio	Verdejo	"wine, Spain, Location, Duero Valley, grapes"	3	Multiple	11
572	What is the climate in Ribera del Duero?	Continental	Maritime	Mediterranean	Subtropical	Continental	"wine, Spain, Location, Duero Valley, vitis, production"	3	Multiple	11
573	What is the most planted grape variety in Ribera del Duero?	Tinta Fino	Garnacha	Cabernet Sauvignon	Albillo	Tinta Fino	"wine, Spain, Location, Duero Valley, grapes"	4	Multiple	11
574	What is the most planted grape variety in Ribera del Duero?	Tempranillo	Malbec 	Viura	Tannat	Tempranillo	"wine, Spain, Location, Duero Valley, grapes"	3	Multiple	11
575	What region Vega Sicilia winery is located in?	Ribera del Duero	Rioja	Priorat	Toro	Ribera del Duero	"wine, Spain, Location, Duero Valley, somm"	3	Multiple	11
576	Where is DO Bierzo located?	North West Spain	Upper Ebro	Catalunya	South East Spain	North West Spain	"wine, Spain, Location, North West Spain"	3	Multiple	11
577	What is the black dominant grape variety in DO Bierzo?	Mencia	Garnacha	Tinta Fino	Godello	Mencia	"wine, Spain, Location, North West Spain, grapes"	4	Multiple	11
578	What style of wines is produced most typically in DO Rias Baixas?	Dry aromatic whites	Sweet noble rot affected whites	Full bodied red wines	Dry rosé 	Dry aromatic whites	"wine, Spain, Location, North West Spain"	3	Multiple	11
579	What is the most popular grape variety in DO Rias Baixas?	Albariño	Caino Tinto 	Treixadura 	Godello	Albariño	"wine, Spain, Location, North West Spain, grapes"	3	Multiple	11
580	What is the most popular grape variety in DO Rias Baixas?	Albariño	Sauvignon Blanc	Verdejo	Chardonnay	Albariño	"wine, Spain, Location, North West Spain, grapes"	3	Multiple	11
581	How much Albariño needs to go to a white wine from DO Rias Baixas?	70%	90%	80%	50%	70%	"wine, Spain, Location, North West Spain"	4	Multiple	11
582	What is the climate in DO Valencia?	Warm mediterranean 	Cold continental	Hot maritime	Dry tropical	Warm mediterranean 	"wine, Spain, Location, Levante"	3	Multiple	11
583	What is the dominant grape variety in DO Utiel-Requena?	Bobal	Tempranillo 	Macabeo	Garnacha 	Bobal	"wine, Spain, Location, Levante"	4	Multiple	11
584	What is the climate in the Alicante region?	Hot mediterranean 	Warm continental	Wet maritime	Cold maritime	Hot mediterranean 	"wine, Spain, Location, Levante, vitis, production"	3	Multiple	11
585	What is the predominant variety grown in DO Alicante?	Monastrell	Garnacha	Tempranillo	Moscatel	Monastrell	"wine, Spain, Location, Levante"	4	Multiple	11
586	Where is Fondillón wine produced?	DO Alicante	DO Rias Baixas	DO Bierzo	DO Toro	DO Alicante	"wine, Spain, Location, Levante"	4	Multiple	11
587	Where is Fondillón wine produced?	DO Alicante	DO Utiel-Requena	DO Terra Alta	DO Costers del Segre	DO Alicante	"wine, Spain, Location, Levante"	4	Multiple	11
588	How Fondillón wine is produced?	With overripe Monastrell grapes	With Moscatel grapes affected by noble rot	With late harvest Garnacha graoes	With shortly macerated Mencia grapes	With overripe Monastrell grapes	"wine, Spain, Location, Levante, vini, production"	4	Multiple	11
589	What is the predominant variety grown in DO Yecla?	Monastrell	Cabernet Sauvignon	Aíren 	Tempranillo 	Monastrell	"wine, Spain, Location, Levante, grapes"	4	Multiple	11
590	How many hours of sunshine does DO Yecla have annually?	around 3000	around 2000	around 4000	around 1500	around 3000	"wine, Spain, Location, Levante"	4	Multiple	11
591	What is the average annual rainfall in DO Yecla?	300 mm	600 mm	900 mm	1200 mm	Mediterranean continental	"wine, Spain, Location, Levante"	4	Multiple	11
592	What is the climate in DO Yecla?	Mediterranean continental	Mediterranean maritime	Warm continental	Hot maritime	Mediterranean-continental	"wine, Spain, Location, Levante"	3	Multiple	11
593	What white grape variety is NOT allowed in wines from DO Yecla?	Sauvignon Blanc	Chardonnay	Macabeo	Aíren 	Sauvignon Blanc	"wine, Spain, Location, Levante, grapes"	4	Multiple	11
594	What red grape variety is NOT allowed in wines from DO Yecla?	Carignan	Garnacha	Monastrell 	Syrah	Carignan	"wine, Spain, Location, Levante, grapes"	4	Multiple	11
595	What is the predominant variety grown in DO Jumilla?	Monastrell	Cencibel 	Syrah	Macabeo	Monastrell	"wine, Spain, Location, Levante, grapes"	4	Multiple	11
596	What grape variety is called Cencibal in Jumilla?	Tempranillo	Garnacha	Carinena 	Mourvèdre 	Tempranillo	"wine, Spain, Location, Levante, grapes"	4	Multiple	11
597	How many hours of sunshine does DO Jumilla have annually?	Around 3000	Around 2000	Around 4000	Around 1500	Around 3000	"wine, Spain, Location, Levante"	4	Multiple	11
598	What is the climate in DO Jumilla?	Hot mediterranean	Cool mediterranean	Warm continental	Hot maritime	Hot mediterranean	"wine, Spain, Location, Levante, vitis, production"	4	Multiple	11
599	What is the average annual rainfall in DO Jumilla?	300 mm	600 mm	900 mm	1200 mm	300 mm	"wine, Spain, Location, Levante"	4	Multiple	11
600	What is the dominant grape variety in La Mancha?	Aíren	Macabeo	Cencibal	Garnacha	Aíren	"wine, Spain, Location, Castilla-La Mancha, grapes"	3	Multiple	11
601	What is the dominant red grape variety in La Mancha?	Cencibal	Aíren 	Syrah	Garnacha	Cencibal	"wine, Spain, Location, Castilla-La Mancha"	4	Multiple	11
602	What is the dominant red grape variety in La Mancha?	Tempranillo	Aíren 	Mourvèdre 	Merlot	Tempranillo	"wine, Spain, Location, Castilla-La Mancha"	4	Multiple	11
603	What is the largest world wine region?	La Mancha	Bordeaux	Napa Valey	Casablanca Valley	La Mancha	"wine, Spain, Location, Castilla-La Mancha"	4	Multiple	11
604	What is the largest wine region in Spain?	La Mancha	Rioja	Ribera del Duero	Toro	La Mancha	"wine, Spain, Location, Castilla-La Mancha"	3	Multiple	11
605	What is the name of the grape variety used for spirits and light fresh light whites?	Aíren	Viura	Verdejo	Garnacha Blanca	Aíren	"wine, Spain, Location, Castilla-La Mancha, grapes"	4	Multiple	11
606	What variety does represent about 50% of all Spain’s harvests?	Aíren	Macabeo	Tempranillo	Garnacha	Aíren	"wine, Spain, Location, Castilla-La Mancha, grapes"	4	Multiple	11
607	What is the climate in DO Valdepeñas?	Hot continental	Cool continental	Hot maritime	Cool maritime	Hot continental	"wine, Spain, Location, Castilla-La Mancha, vitis, production"	4	Multiple	11
608	What grape variety is called Cencibal in Valdepeñas?	Tempranillo	Garnacha	Aíren 	Mourvèdre 	Tempranillo	"wine, Spain, Location, Castilla-La Mancha, grapes"	3	Multiple	11
609	What grape variety is called Cencibal in La Mancha?	Tempranillo	Aíren 	Carinena 	Verdejo	Tempranillo	"wine, Spain, Location, Castilla-La Mancha, grapes"	3	Multiple	11
610	What is the dominant grape variety in La Mancha?	Aíren 	Macabeo	Tempranillo	Garnacha	Aíren 	"wine, Spain, Location, Castilla-La Mancha, grapes"	3	Multiple	11
611	What is the dominant red grape variety in La Mancha?	Tempranillo	Aíren 	Macabeo	Albariño	Tempranillo	"wine, Spain, Location, Castilla-La Mancha, grapes"	3	Multiple	11
612	How many percent of Cencibal grapes must go to the gran reserva wines in DO Valdepeñas?	100%	85%	70%	50%	100%	"wine, Spain, Location, Castilla-La Mancha"	4	Multiple	11
613	What is Albariño called in Portugal?	Alvarinho 	Algarinho 	Albarinno 	Albaríno 	Alvarinho 	"wine, Portugal, Location, grapes"	3	Multiple	11
614	What is Albariño called in Portugal?	Alvarinho 	Loureiro 	Bical 	Arinto	Alvarinho 	"wine, Portugal, Location, grapes"	3	Multiple	11
615	Which of the following grape varieties is not used to produce white wines?	Touriga Nacional 	Loureiro 	Bical 	Alvarinho 	Touriga Nacional 	"wine, Portugal, Location, grapes"	3	Multiple	11
616	Which of the following grape varieties is not used to produce white wines?	Trincadeira 	Fernao 	Pires 	Antao 	Trincadeira 	"wine, Portugal, Location, grapes"	3	Multiple	11
617	Which of the following grape varieties is not used to produce white wines?	Baga 	Bical 	Pires 	Loureiro 	Baga 	"wine, Portugal, Location, grapes"	4	Multiple	11
618	Which of the following grape varieties is not used to produce red wines?	Bical 	Trincadeira 	Touriga Nacional 	Tinta Roriz 	Bical 	"wine, Portugal, Location, grapes"	4	Multiple	11
619	Which of the following grape varieties is not used to produce red wines?	Alvarinho 	Trincadeira 	Baga	Castaleo	Alvarinho 	"wine, Portugal, Location, grapes"	3	Multiple	11
620	Which of the following grape varieties is not used to produce red wines?	Fernao 	Trincadeira 	Touriga Nacional 	Castaleo	Fernao 	"wine, Portugal, Location, grapes"	4	Multiple	11
621	Which of the following grape varieties is not used to produce rose wines?	Alvarinho 	Trincadeira 	Baga	Castaleo	Alvarinho 	"wine, Portugal, Location, grapes"	3	Multiple	11
622	What is the lowest quality level of Portugese wines?	Vinho de Mesa	Vinho Regional 	DOC	DOCG	Vinho de Mesa	"wine, Portugal, Location"	3	Multiple	11
623	What is the highest quality level of Portugese wines?	DOC	DOCG	DO	Vinho Regional 	DOC	"wine, Portugal, Location"	3	Multiple	11
624	Where is Porto produced?	Portugal	Spain	Italy	Australia	Portugal	"wine, Portugal, Location, fortified, style"	2	Multiple	11
625	What is the climate in the Vinho Verde DOC?	Maritime	Continental	Mediterranean	Tropical	Maritime	"wine, Portugal, Location, Northern Portugal"	3	Multiple	11
626	What area is located in the northern Portugal?	Vinho Verde	Palmela	Ribatejo	Alentejo	Vinho Verde	"wine, Portugal, Location, Northern Portugal"	3	Multiple	11
627	Which of the following grapes varieties is not white?	Azal	Alvarinho	Loureiro	Trajadura	Azal	"wine, Portugal, Location, grapes"	4	Multiple	11
628	Which of the following grapes varieties is not white?	Vinhao	Alvarinho	Loureiro	Trajadura	Vinhao	"wine, Portugal, Location, grapes"	4	Multiple	11
629	Which of the following grapes varieties is not white?	Espadeiro	Pederna	Loureiro	Avesso	Espadeiro	"wine, Portugal, Location, grapes"	4	Multiple	11
630	What does “vinho verde” mean in English?	green wine	sparkling wine	summer wine	sunny wine	green wine	"wine, Portugal, Location, Northern Portugal, Europe"	3	Multiple	11
631	Which of the following is true about Vinho Verde wines?	It is often a blend of many grapes	It is produced only with the MLF method	It must be white	It is made from green grapes	It is often a blend of many grapes	"wine, Portugal, Location, Northern Portugal, Europe"	3	Multiple	11
632	Which of the following is not a subregion of Duoro?	Duoro Nacional	Baixo Corgo 	Cima Corgo 	Douro Superior 	Duoro Nacional	"wine, Portugal, Location, Northern Portugal, fortified, Europe"	4	Multiple	11
633	What region is Baixo Corgo part of?	Duoro	Palmela	Alentejo	Bairrada	Duoro	"wine, Portugal, Location, Northern Portugal, fortified, Europe"	4	Multiple	11
634	What region is Cima Corgo part of?	Duoro	Minho	Ribatejo	Bairrada	Duoro	"wine, Portugal, Location, Northern Portugal, fortified, Europe"	4	Multiple	11
635	Which of the following grapes varieties is not white?	Alfrocheiro	Gouveio 	Rabigato 	Viosinho 	Alfrocheiro	"wine, Portugal, Location, grapes, Europe"	4	Multiple	11
636	Which of the following grapes varieties is red?	Touriga Nacional 	Bical	Gouveio 	Alvarinho	Touriga Nacional 	"wine, Portugal, Location, grapes, fortified, Europe"	3	Multiple	11
637	"What do Touriga Nacional, Tinta Roriz and Tinta Franca have in common?"	They are used in Portugal to produce red wines	They are synonyms of Tempranillo	They are white grape varieties	They are solely used to produce Porto	They are used in Portugal to produce red wines	"wine, Portugal, Location, grapes, fortified, Europe"	3	Multiple	11
638	Bical Tinto is another name for…	Touriga Nacional 	Tempranillo	Alvarinho	Tinta Franca 	Touriga Nacional 	"wine, Portugal, Location, grapes, Europe"	4	Multiple	11
639	What river is vital for wine growing in the Duoro region?	Duoro	Sado	Zezere	Lima	Duoro	"wine, Portugal, Location, Northern Portugal, fortified, Europe"	3	Multiple	11
640	What region Jaén and Encruzado grape varieties are typical for?	Dão	Duoro	Bairrada	Alentejo	Dão	"wine, Portugal, Location, Northern Portugal, Europe"	4	Multiple	11
